Date,Name,Nationality,Cause of death,Mountain
27/07/2023,Muhammad Hassan,Pakistan,Unknown,K2
22/07/2022,Matthew Eakin,Australia,Fall,K2
22/07/2022,Richard Cartier,Canada,Fall,K2
21/07/2022,Ali Akbar Sakhi,Afghanistan,"Unknown, suspected altitude sickness",K2
25/07/2021,Rick Allen,United Kingdom,Avalanche,K2
05/02/2021,Ali Sadpara,Pakistan,"Froze to death in storm, remains found July 2021",K2
05/02/2021,Juan Pablo Mohr Prieto,Chile,"Froze to death in storm, remains found July 2021",K2
05/02/2021,John Snorri Sigurjónsson,Iceland,"Froze to death in storm, remains found July 2021",K2
05/02/2021,Atanas Skatov,Bulgaria,Fall during descent from Camp 3,K2
16/01/2021,Sergi Mingote,Spain,Fall during descent from Camp 1,K2
22/07/2018,Watanabe Kojiro,Japan,Fall during descent,K2
07/07/2018,Serge Dessureault,Canada,Fall,K2
30/07/2014,Miguel Ángel Pérez,Spain,"Unclear, likely altitude sickness",K2
27/07/2013,Marty Schmidt,New Zealand / United States,Avalanche,K2
27/07/2013,Denali Schmidt,New Zealand / United States,Avalanche,K2
06/02/2012,Vitaliy Gorelik,Russia,Frostbite,K2
06/08/2010,Fredrik Ericsson,Sweden,Fall from the Bottleneck,K2
17/07/2010,Petar Georgiev Unzhiev,Bulgaria,Altitude sickness,K2
23/06/2009,Michele Fait,Italy,Fall with skis,K2
02/08/2008,Hwang Dong-jin,South Korea,Fourth serac fall,K2
02/08/2008,Park Kyeong-hyo,South Korea,Fourth serac fall,K2
02/08/2008,Kim Hyo-gyung,South Korea,Fourth serac fall,K2
02/08/2008,Pasang Bhote,Nepal,Fourth serac fall,K2
02/08/2008,Jumic Bhote,Nepal,Fourth serac fall,K2
02/08/2008,Gerard McDonnell,Ireland,Second or third serac fall,K2
02/08/2008,Meherban Karim,Pakistan,Second or third serac fall,K2
02/08/2008,Hugues d'Aubarède,France,Fall during descent,K2
01/08/2008,Rolf Bae,Norway,First serac fall,K2
01/08/2008,Jahan Baig,Pakistan,Fall while trying to recover Mandić's corpse,K2
01/08/2008,Dren Mandić,Serbia,Fall during ascent,K2
20/07/2007,Stefano Zavka,Italy,Unknown (disappeared),K2
20/07/2007,Nima Nurbu,Nepal,Fall from the Bottleneck,K2
13/08/2006,Arkadi Kuvakin,Russia,Avalanche,K2
13/08/2006,Aleksandr Foigt,Russia,Avalanche,K2
13/08/2006,Piotr Kuznetsov,Russia,Avalanche,K2
13/08/2006,Yuri Uteshev,Russia,Avalanche,K2
19/08/2004,Manel de la Mata,Spain,Pulmonary edema,K2
02/08/2004,Dauoud Khadem Asl,Iran,"Lost in storm, presumed dead",K2
02/08/2004,Sergei Sokolov,Russia,"Lost in storm, presumed dead",K2
28/07/2004,Aleksandr Gubaev,Kyrgyzstan,Fall,K2
08/06/2004,Pae Kyong-kyu,South Korea,Avalanche,K2
08/06/2004,Kim Jae-koung,South Korea,Avalanche,K2
08/06/2004,Lee Hwa-hyeung,South Korea,Avalanche,K2
21/07/2003,Klaus-Dieter Grohs,Germany,Fall,K2
22/07/2002,Muhammad Iqbal,Pakistan,Fall,K2
13/07/2002,Sher Ajman,Pakistan,Avalanche,K2
22/07/2001,Park Young-do,South Korea,Fall,K2
10/07/1999,Mihai Cioroianu,Romania,Hit by rockfall,K2
14/08/1996,Igor Benkin,Russia,Exhaustion,K2
29/07/1996,Lorenzo Mazzoleni,Italy,Fall,K2
15/08/1995,Jeff Lakes,Canada,Exhaustion,K2
13/08/1995,Bruce Grant,New Zealand,Killed in a storm,K2
13/08/1995,Rob Slater,United States,Killed in a storm,K2
13/08/1995,Alison Hargreaves,United Kingdom,Killed in a storm,K2
13/08/1995,Javier Escartin,Spain,Killed in a storm,K2
13/08/1995,Javier Olivar,Spain,Killed in a storm,K2
13/08/1995,Lorenzo Ortiz,Spain,Killed in a storm,K2
06/07/1995,Jordi Anglès,Spain,Fall,K2
11/08/1994,"Juan Antonio ""Atxo"" Apellániz",Spain,HACE,K2
24/07/1994,Steve Untch,United States,Fall from broken rope,K2
10/07/1994,Dmitri Ibragim-Zade,Ukraine,Killed in a storm,K2
10/07/1994,Aleksandr Parkhomenko,Ukraine,Killed in a storm,K2
10/07/1994,Aleksei Kharaldin,Ukraine,Killed in a storm,K2
31/07/1993,Daniel Bidner,Sweden,"Altitude sickness, fall",K2
30/07/1993,Reinmar Joswig,Germany,Fall,K2
30/07/1993,Peter Mezger,Germany,Fall,K2
07/07/1993,Dan Culver,Canada,Fall,K2
15/06/1993,Boštjan Kekec,Slovenia,Altitude sickness,K2
14/08/1992,Adrián Benítez,Mexico,Fall,K2
28/07/1989,Hans Bärnthaler,Austria,Avalanche,K2
24/08/1987,Suzuki Akira,Japan,Fall,K2
10/08/1986,Dobrosława Miodowicz-Wolf,Poland,Exhaustion,K2
10/08/1986,Alfred Imitzer,Austria,Altitude sickness,K2
10/08/1986,Hannes Wieser,Austria,Altitude sickness,K2
10/08/1986,Alan Rouse,United Kingdom,Altitude sickness,K2
07/08/1986,Julie Tullis,United Kingdom,Altitude sickness,K2
04/08/1986,Mohammad Ali,Pakistan,Stonefall,K2
03/08/1986,Wojciech Wróż [pl],Poland,Fall,K2
16/07/1986,Renato Casarotto,Italy,Fall into crevasse,K2
10/07/1986,Tadeusz Piotrowski,Poland,Fall,K2
24/06/1986,Maurice Barrard,France,"Disappeared, remains found in 1998 near Camp 1",K2
24/06/1986,Liliane Barrard,France,"Disappeared, remains found July 19, 1986, near the South Face",K2
21/06/1986,John Smolich,United States,Avalanche,K2
21/06/1986,Alan Pennington,United States,Avalanche,K2
07/07/1985,Daniel Lacroix,France,Unknown (disappeared),K2
15/08/1982,Yanagisawa Yukihiro,Japan,Fall,K2
30/07/1982,Halina Krüger-Syrokomska,Poland,Stroke,K2
19/08/1979,Laskhar Khan,Pakistan,Stroke,K2
09/06/1979,"Ali, Son of Kazim",Pakistan,Fall into crevasse,K2
12/06/1978,Nick Estcourt,United Kingdom,Avalanche,K2
21/06/1954,Mario Puchoz,Italy,Pneumonia,K2
10/08/1953,Art Gilkey,United States,Avalanche,K2
31/07/1939,Pasang Kikuli,Nepal,Unknown (disappeared),K2
31/07/1939,Pasang Kitar,Nepal,Unknown (disappeared),K2
31/07/1939,Pintso,Nepal,Unknown (disappeared),K2
30/07/1939,Dudley Wolfe,United States,"Altitude sickness, severe dehydration",K2
25/05/2023,Luis Stitzinger,Germany,Unknown,Kangchenjunga
05/05/2022,Narayanan Iyer,India,Altitude sickness,Kangchenjunga
16/05/2019,Biplab Baidya,India,"Exposure, frostbite",Kangchenjunga
16/05/2019,Kuntal Kanrar,India,"Exposure, frostbite",Kangchenjunga
15/05/2019,Rodrigo Francisco Vivanco Figueroa,Chile,Unknown (disappeared),Kangchenjunga
20/05/2014,Chhanda Gayen,India,Fall on descent above Camp 4 on Yalung Kang,Kangchenjunga
20/05/2014,Migma Temba Sherpa,Nepal,Fall on descent above Camp 4 on Yalung Kang,Kangchenjunga
20/05/2014,Dawa Wangchu Sherpa,Nepal,Fall on descent above Camp 4 on Yalung Kang,Kangchenjunga
20/05/2013,Bibas Gurung Sherpa,Nepal,Fall,Kangchenjunga
20/05/2013,Phu Dorchi Sherpa,Nepal,Fall,Kangchenjunga
20/05/2013,Park Nam-soo,South Korea,Fall,Kangchenjunga
20/05/2013,Péter Kiss,Hungary,Fall on descent above Camp 4,Kangchenjunga
20/05/2013,Zsolt Erőss,Hungary,Exhaustion,Kangchenjunga
24/05/2007,Iñigo de Pineda Blanc,Spain,Fall,Kangchenjunga
24/05/2002,"Christopher Hugh ""Chris"" Grasswick",Canada,Fall,Kangchenjunga
23/04/2000,Ang Dawa Tamang,Nepal,Hit by ice block,Kangchenjunga
14/09/1999,Hyun Myeong-kun,South Korea,Avalanche,Kangchenjunga
14/09/1999,Han Do-kyu,South Korea,Avalanche,Kangchenjunga
16/05/1998,Shiina Atsushi,Japan,Altitude sickness,Kangchenjunga
16/05/1998,Akasaka Kenzo,Japan,Fall,Kangchenjunga
06/10/1995,Benoît Chamoux,France,Fall,Kangchenjunga
06/10/1995,Riku Sherpa,Nepal,Fall,Kangchenjunga
05/10/1995,Pierre Alain Royer,France,Fall,Kangchenjunga
01/01/1995,Sukaraj Limbu,Nepal,Altitude sickness,Kangchenjunga
23/10/1994,Iordanka Ivanova Dimitrova,Bulgaria,Avalanche,Kangchenjunga
09/10/1994,Sergei Zhvirblya,Belarus,Avalanche,Kangchenjunga
09/10/1994,Ekaterina Ivanova,Russia,Avalanche,Kangchenjunga
13/05/1992,Wanda Rutkiewicz,Poland,Unknown (disappeared),Kangchenjunga
25/04/1992,Ang Dorje Sherpa,Nepal,Suffocation,Kangchenjunga
25/04/1992,Lhakpa Nuru Sherpa,Nepal,Suffocation,Kangchenjunga
16/05/1991,Pasang Sherpa,India,Fall,Kangchenjunga
03/05/1991,Jože Rozman,Yugoslavia,Fall,Kangchenjunga
03/05/1991,Marija Frantar,Yugoslavia,Fall,Kangchenjunga
20/12/1989,Tchiring Chumbi Lama Sherpa,Nepal,Fall on Yalung Kang,Kangchenjunga
20/12/1989,Ang Dawa Sherpa,Nepal,Fall on Yalung Kang,Kangchenjunga
20/12/1989,Jin Kyo-sup,South Korea,Fall on Yalung Kang,Kangchenjunga
17/05/1988,Sanjay Borole,India,Exhaustion,Kangchenjunga
31/05/1987,Chander Singh,India,Fall,Kangchenjunga
25/05/1987,Choten Tsering,India,Fall,Kangchenjunga
25/05/1987,Phupu Bhotia,India,Fall,Kangchenjunga
25/05/1987,Phu Dorjee Sherpa,India,Fall,Kangchenjunga
11/01/1986,"Andrzej ""Leszek"" Czok",Poland,Altitude sickness,Kangchenjunga
22/04/1985,Borut Bergant,Yugoslavia,Fall on Yalung Kang,Kangchenjunga
15/01/1985,Chris Howard Chandler,United States,Altitude sickness,Kangchenjunga
15/10/1981,Jean-Jacques Ricouard,France,Fall,Kangchenjunga
04/05/1980,Alfonso Medina Rubio,Mexico,Fall on Yalung Kang,Kangchenjunga
04/05/1980,Sergio Hugo Saldaña Meneses,Mexico,Fall on Yalung Kang,Kangchenjunga
08/04/1977,Sukhvinder Singh,India,Fall,Kangchenjunga
15/05/1973,Matsuda Takao,Japan,Hit by rock after summitting Yalung Kang,Kangchenjunga
26/05/1955,Pemi Dorje Sherpa,India,Unknown illness,Kangchenjunga
09/08/1931,"Hermann ""Xaverl"" Schaller",Germany,Avalanche,Kangchenjunga
09/08/1931,Pasang Sherpa,British Raj,Avalanche,Kangchenjunga
01/08/1931,Babu Lall,British Raj,Blackwater fever,Kangchenjunga
01/07/1931,Lobsang,British Raj,Unknown illness,Kangchenjunga
08/05/1930,Chettan Sherpa,British Raj,Avalanche,Kangchenjunga
27/05/1929,Edgar Francis Farmer,United States,Unknown (disappeared),Kangchenjunga
01/09/1905,Unknown,British Raj,Fall,Kangchenjunga
01/09/1905,Alexis A. Pache,Switzerland,Fall,Kangchenjunga
28/08/1905,Unnamed porter,British Raj,Fall,Kangchenjunga
08/05/2022,Khudam Bir Tamang,Nepal,Avalanche on south face,Lhotse
17/05/2019,Ivan Tomov,Bulgaria,HACE,Lhotse
17/05/2018,Rustem Amirov,Russia,Altitude sickness,Lhotse
19/05/2016,Ang Phurba Sherpa,Nepal,Fall,Lhotse
27/04/2015,Yomagato Horoshi,Japan,2015 Mount Everest avalanche (died in Kathmandu of injuries),Lhotse
25/04/2015,Ge Zhen-fang,China,2015 Mount Everest avalanche,Lhotse
18/04/2014,Asman Tamang,Nepal,2014 Mount Everest ice avalanche,Lhotse
20/05/2013,Lee Hsiao-shih,Taiwan,Altitude sickness,Lhotse
16/10/2012,Temba Sherpa,Nepal,Fall,Lhotse
19/05/2012,Milan Sedláček,Czech Republic,"Exposure, frostbite",Lhotse
07/05/2010,Sergei Duganov,Russia,Altitude sickness,Lhotse
25/05/2009,Sergei Samoilov,Kazakhstan,Fall,Lhotse
21/05/2007,Pemba Doma Thaktopa Sherpa,Nepal,Fall,Lhotse
09/05/2006,Pavel Kalný,Czech Republic,Fall,Lhotse
05/10/2003,Hwang Sun-dug,South Korea,Avalanche on Lhotse Shar,Lhotse
05/10/2003,Park Joo-hoon,South Korea,Avalanche on Lhotse Shar,Lhotse
17/09/2000,Vladimir Bondarev,Russia,Avalanche,Lhotse
27/05/1997,Vladimir Bachkirov,Russia,Altitude sickness,Lhotse
24/10/1989,Jerzy Kukuczka,Poland,Fall,Lhotse
27/09/1987,"Antoni ""Toni"" Sors Ferrer",Spain,Avalanche on Lhotse Shar,Lhotse
27/09/1987,Sergio Reinaldo Escalera Fernandez,Spain,Avalanche on Lhotse Shar,Lhotse
27/09/1987,Francisco Porras Cerda,Spain,Avalanche on Lhotse Shar,Lhotse
27/09/1987,Antonio Quiñones Tores,Spain,Avalanche on Lhotse Shar,Lhotse
15/09/1987,Czesław Jakiel,Poland,Avalanche,Lhotse
30/10/1986,Pedro Alonso Lopez,Spain,Fall on Lhotse Shar,Lhotse
25/10/1985,Rafał Chołda,Poland,Fall,Lhotse
25/10/1981,Josef Fauchere,Switzerland,Fall on Lhotse Shar,Lhotse
16/10/1981,Philippe Petten,Switzerland,Fall on Lhotse Shar,Lhotse
16/10/1981,Pierre Favez,Switzerland,Fall on Lhotse Shar,Lhotse
17/05/1980,Pasang Nima Sherpa,Nepal,Avalanche,Lhotse
28/04/1980,Nicolas Jaeger,France,Unknown (disappeared on Lhotse Shar),Lhotse
12/05/1977,Max Lutz,West Germany,Fall,Lhotse
17/12/1974,Stanislaw Latałło,Poland,Exhaustion,Lhotse
24/10/2021,Henrik T. Adersen,Denmark,Unknown (died near Base Camp; likely a trekker as no climbing permits were issued in autumn 2021),Makalu
24/05/2019,Nima Tenji Sherpa,Nepal,"Storm, altitude sickness",Makalu
16/05/2019,Dipankar Ghosh,India,Exhaustion,Makalu
16/05/2019,Narayan Singh,India,Exhaustion,Makalu
08/05/2019,Richard Leopoldo Hidalgo Jara,Peru,"Died in sleep, likely altitude sickness",Makalu
15/05/2018,Ang Dawa Sherpa,Nepal,Unknown illness,Makalu
10/05/2016,Lakpa Ongyal Sherpa,Nepal,Unknown illness,Makalu
10/05/2016,Da Tenji Sherpa,Nepal,Unknown illness,Makalu
02/05/2014,Yannick Claude Sylvain Gagneret,France,HACE,Makalu
23/04/2013,Liu Xiang-yang,China,Fall during descent,Makalu
22/05/2011,Joëlle Catherine Brupbacher,Switzerland,Altitude sickness,Makalu
26/05/2010,"Zaharias ""Haris"" Kiriakakis",Greece,Unknown (disappeared),Makalu
01/05/2009,Sangat Ram Thakur,India,Fall,Makalu
20/05/2008,Nil Prasad Gurung,Nepal,Altitude sickness,Makalu
24/04/2008,Drabey Bahadur Rajan Magar,Nepal,Falling rock/ice,Makalu
27/01/2006,Jean-Christophe Lafaille,France,Fall into crevasse,Makalu
15/05/2005,Sumba Sherpa,Nepal,Altitude sickness,Makalu
18/05/2004,Jay Sieger,United States,Fall,Makalu
17/05/2004,Vladislav Terzyul,Ukraine,Unknown (disappeared),Makalu
25/04/2002,Raymond David Caughron,United States,"Exposure, frostbite",Makalu
01/01/2002,Pramod Sunar,Nepal,Unspecified,Makalu
01/01/2002,Karma Wangchu Sherpa,Nepal,Unspecified,Makalu
01/01/2002,Prakash Kundip Karki,Nepal,Unspecified,Makalu
01/01/2002,Ongchhu Sherpa,Nepal,Unspecified,Makalu
01/01/2002,Sarki Sherpa,Nepal,Unspecified,Makalu
01/01/2002,Nima Dorje Tamang,Nepal,Unspecified,Makalu
14/05/2001,Erich Resch,Austria,Fall,Makalu
16/05/2000,Bernd Mehnert,Germany,Altitude sickness,Makalu
11/10/1999,Sange Pemba Sherpa,Nepal,Fall,Makalu
30/04/1999,Michael Knakkergaard-Jørgensen,Denmark,Fall,Makalu
12/10/1997,Per Lyhne,Denmark,Unknown illness,Makalu
24/05/1997,Igor Bougatshevski,Russia,Falling rock/ice,Makalu
21/05/1997,Salavat Khabibulin,Russia,Exhaustion,Makalu
14/05/1996,Anatoli Chlekht,Russia,Fall,Makalu
08/05/1995,David Victor Hume,Australia,Fall,Makalu
08/10/1991,Ishizaka Takumi,Japan,"Exposure, frostbite",Makalu
02/10/1991,"Manuel ""Manu"" Badiola Otegi",Spain,Fall,Makalu
14/10/1988,Ryszard Kołakowski,Poland,Fall,Makalu
25/09/1986,Marcel Rüedi,Switzerland,Altitude sickness,Makalu
01/01/1986,Kancha Gurung,Nepal,Altitude sickness,Makalu
13/09/1984,Ram Bahadur Shrestha,Nepal,Altitude sickness,Makalu
15/10/1983,Mark Peter Moorhead,Australia,Fall,Makalu
03/10/1983,"Matthew William ""Bill"" Denz",New Zealand,Avalanche,Makalu
01/01/1983,Unknown,Nepal,Unknown,Makalu
26/09/1982,Tadeusz Szulc,Poland,Unknown illness,Makalu
06/10/1978,Andrzej Młynarczyk,Poland,Avalanche,Makalu
24/05/1976,Karel Schubert,Czechoslovakia,"Exposure, frostbite",Makalu
21/05/1973,Jan Kounický,Czechoslovakia,Fall,Makalu
26/09/1954,Dilli Bahadur Verma,Nepal,Pneumonia,Makalu
29/04/2019,Phujung Bhote,Nepal,Fall into crevasse,Cho Oyu
16/05/2018,Park Shin-yong,South Korea,"Exhaustion, altitude sickness",Cho Oyu
26/09/2011,Joerg Henry Manuel Henning,Germany,Avalanche,Cho Oyu
23/09/2011,Rostislav Krpec,Czech Republic,Unknown illness,Cho Oyu
22/05/2011,Ronald Naar,Netherlands,Altitude sickness,Cho Oyu
03/10/2010,Walter Nones,Italy,Fall,Cho Oyu
03/05/2010,Serguey Nikitin,Russia,HACE,Cho Oyu
26/09/2009,"Clifton Harlan Wells ""Cliff"" Maloney",United States,Unknown illness,Cho Oyu
02/06/2009,Dennis Verhoeve,Netherlands,Fall,Cho Oyu
04/10/2008,Miha Valič,Slovenia,Altitude sickness,Cho Oyu
03/10/2008,Guy Leveille,Canada,Fall,Cho Oyu
09/05/2006,Raymund M. Spang,Germany,Fall,Cho Oyu
11/05/2005,Lubos Stacho,Slovakia,Unknown illness,Cho Oyu
13/10/2004,Xabier Ormazabal,Spain,"Exhaustion, fall",Cho Oyu
06/10/2003,Christos Barouchas,Greece,Exhaustion,Cho Oyu
16/05/2003,Guenter Welkisch,Germany,Altitude sickness,Cho Oyu
14/05/2003,Paul Bernard Carr,Australia,Heart attack,Cho Oyu
14/05/2002,Adam Joseph Cinnamond,United Kingdom,Fall into crevasse,Cho Oyu
30/04/2002,Chhong Ringee Sherpa,Nepal,Unknown,Cho Oyu
09/09/2001,Kim Su-ya,South Korea,Altitude sickness,Cho Oyu
11/10/2000,Pavle Milošević,Yugoslavia,"HAPE, heart problems",Cho Oyu
20/09/2000,Pemba Gyalzen Sherpa,Nepal,Avalanche,Cho Oyu
20/09/2000,Pasang Nuru Sherpa,Nepal,Avalanche,Cho Oyu
20/09/2000,Pasang Nima Sherpa,Nepal,Avalanche,Cho Oyu
04/05/2000,Pavel Bonadyssenko,Russia,Fall,Cho Oyu
04/05/2000,Noora Toivonen,Finland,Fall,Cho Oyu
01/01/1999,Joan Carrillo Junca,Spain,Fall,Cho Oyu
26/09/1998,"Alexander ""Alex"" Jaggi",Switzerland,Unknown illness,Cho Oyu
13/05/1998,Gerald Roesner,Germany,Fall,Cho Oyu
30/04/1998,Viktor Stepanov,Russia,Unknown illness,Cho Oyu
10/10/1996,Lubos Becak,Czech Republic,Altitude sickness,Cho Oyu
06/10/1996,Oya Hiroshi,Japan,Altitude sickness,Cho Oyu
20/04/1996,"Friedrich ""Fritz"" Zintl",Germany,Unknown illness,Cho Oyu
08/10/1994,Lhakpa Gyalu Sherpa,Nepal,Unknown illness,Cho Oyu
24/01/1994,Juan Carlos Piedra,Switzerland,Fall,Cho Oyu
24/01/1994,Jean-Luc Beausire,Switzerland,Fall,Cho Oyu
20/05/1992,Philippe Gerard Arnold Monnerat,Switzerland,Fall,Cho Oyu
21/10/1991,Yuri Grebeniuk,Soviet Union,Falling rock/ice,Cho Oyu
11/05/1991,Horst Wasmann,Germany,Fall,Cho Oyu
01/01/1990,Chandra Gurung,Nepal,Unknown illness,Cho Oyu
25/12/1989,Ang Lhakpa Nuru Sherpa,Nepal,Fall,Cho Oyu
29/09/1988,Daniel Bovero,France,Altitude sickness,Cho Oyu
12/05/1988,Stefan Wörner,Switzerland,Altitude sickness,Cho Oyu
23/10/1986,Pierre-Alain Steiner,Switzerland,Fall,Cho Oyu
19/05/1982,Reinhard Karl,West Germany,Avalanche,Cho Oyu
07/05/1964,Alois Thurmayr,West Germany,Altitude sickness,Cho Oyu
04/05/1964,Georg Huber,West Germany,Altitude sickness,Cho Oyu
02/10/1959,Chhowang Sherpa,Nepal,Avalanche,Cho Oyu
02/10/1959,Ang Norbu Sherpa,Nepal,Avalanche,Cho Oyu
02/10/1959,Claudine van der Straten-Ponthoz,Belgium,Avalanche,Cho Oyu
02/10/1959,Claude Kogan,France,Avalanche,Cho Oyu
28/04/1958,"Narendra Dhar ""Nandu"" Jayal",India,Altitude sickness,Cho Oyu
12/04/2022,Antonios Sykaris,Greece,Illness,Dhaulagiri I
27/09/2018,Dawa Gyaljen Sherpa,Nepal,Avalanche,Dhaulagiri I
30/04/2018,Simone La Terra,Italy,Storm,Dhaulagiri I
20/05/2017,Ang Ngima Sherpa,Nepal,Fall/Exposure,Dhaulagiri I
19/05/2016,Rajib Bhattacharya,India,Altitude sickness,Dhaulagiri I
16/05/2016,Christiaan Johan Wilson,Netherlands,Disappeared,Dhaulagiri I
15/10/2014,Ján Matlák,Slovakia,Avalanche,Dhaulagiri I
15/10/2014,Vladimír Švancár,Slovakia,Avalanche,Dhaulagiri I
15/10/2014,Bhoj Kumar Rai,Nepal,Avalanche,Dhaulagiri I
15/10/2014,Gopal Rai,Nepal,Avalanche,Dhaulagiri I
15/10/2014,Dorje Sherpa,Nepal,Avalanche,Dhaulagiri I
26/05/2013,Juanjo Garra,Spain,Fall and exposure,Dhaulagiri I
23/05/2013,Chizuko Kono,Japan,Exhaustion,Dhaulagiri I
23/05/2013,Dawa Sherpa,Nepal,Disappeared,Dhaulagiri I
28/09/2010,Daisuke Honda,Japan,Avalanche,Dhaulagiri I
28/09/2010,Osamu Tanabe,Japan,Avalanche,Dhaulagiri I
28/09/2010,Pasang Gyelu,Nepal,Avalanche,Dhaulagiri I
28/09/2010,Toshio Yamamoto,Japan,Avalanche,Dhaulagiri I
13/05/2010,Zhao Liang,China,Fall,Dhaulagiri I
13/05/2010,Li Bin,China,Cold/ Exhaustion,Dhaulagiri I
13/05/2010,Han Xin,China,Fall,Dhaulagiri I
01/05/2009,Mehdi Etemad Far,Iran,Fall,Dhaulagiri I
08/04/2009,Piotr Morawski,Poland,Fall into crevasse,Dhaulagiri I
05/05/2008,Rafael Guillén,Spain,Fall,Dhaulagiri I
05/05/2008,Darío Bracali,Argentina,Disappeared,Dhaulagiri I
12/05/2007,Santiago Sagaste,Spain,Avalanche,Dhaulagiri I
12/05/2007,Ricardo Valencia,Spain,Avalanche,Dhaulagiri I
30/04/2007,Sergio Dalla Longa,Italy,Fall,Dhaulagiri I
14/10/2001,Yukihiko Shinagawa,Japan,Disappeared,Dhaulagiri I
14/10/2001,Ryushi Hoshino,Japan,Disappeared,Dhaulagiri I
14/10/2001,Masashi Fukumoto,Japan,Disappeared,Dhaulagiri I
11/10/2001,Jose Antonio Garces,Spain,Fall,Dhaulagiri I
07/10/2000,Gyalzen Chuldim,Nepal,Avalanche,Dhaulagiri I
29/09/2000,Soo-ho Lee,South Korea,Avalanche,Dhaulagiri I
24/10/1999,Ginette Harrison,United Kingdom,Avalanche,Dhaulagiri I
24/10/1999,Dawa Dorje,Nepal,Avalanche,Dhaulagiri I
02/10/1998,Charalampos (Babis) Tsoupras,Greece,Fall,Dhaulagiri I
11/05/1998,Chantal Mauduit,France,Avalanche,Dhaulagiri I
11/05/1998,Ang Tshering,Nepal,Avalanche,Dhaulagiri I
01/05/1998,Nikos Papandreou,Greece,Fall,Dhaulagiri I
06/10/1995,Isayoshi Tawaraya,Japan,Disappeared,Dhaulagiri I
15/05/1995,Albrecht Hammann,Germany,Exposure,Dhaulagiri I
18/10/1994,Galina Chekanova,Ukraine,Fall,Dhaulagiri I
26/09/1994,Robert Bähler,Switzerland,Fall,Dhaulagiri I
06/10/1993,Gary Ball,New Zealand,Altitude Sickness,Dhaulagiri I
11/05/1992,Sanda Dumitrescu-Isaila,Romania,Disappeared,Dhaulagiri I
11/05/1992,Taina Coliban,Romania,Disappeared,Dhaulagiri I
02/05/1992,Hubert Weinzierl,Germany,Heart Failure,Dhaulagiri I
31/10/1990,Dainius Makauskas,Lithuania,Disappeared,Dhaulagiri I
29/04/1990,Wangel,Nepal,Avalanche,Dhaulagiri I
25/12/1989,Scot McGrath,United States,Avalanche,Dhaulagiri I
25/12/1989,Gregory Barber,United States,Avalanche,Dhaulagiri I
25/12/1989,Wangchuk Nuru,Nepal,Avalanche,Dhaulagiri I
10/10/1989,Francesc (Quico) Dalmases,Spain,Disappeared,Dhaulagiri I
25/09/1989,Sarki Kami,Nepal,Avalanche,Dhaulagiri I
25/09/1989,Ajiwa,Nepal,Avalanche,Dhaulagiri I
21/09/1986,Franz Mülleder,Austria,Edema,Dhaulagiri I
23/10/1984,Jan Simon,Czechoslovakia,Fall,Dhaulagiri I
23/05/1981,Mario Serrano,Argentina,Cold/Exhaustion,Dhaulagiri I
07/10/1980,Lynette R. Griffith,Australia,Avalanche,Dhaulagiri I
14/05/1979,Sherpa Pemba,Nepal,Disappeared,Dhaulagiri I
13/05/1979,Jean-Louis Sabarly,France,Avalanche,Dhaulagiri I
13/05/1979,Eric Poumailloux,France,Avalanche,Dhaulagiri I
20/10/1978,Katsuyoshi Kogure,Japan,Fall/Exposure,Dhaulagiri I
23/09/1978,Kiyoshi Kobayashi,Japan,Avalanche,Dhaulagiri I
23/09/1978,Yujiro Fukasawa,Japan,Avalanche,Dhaulagiri I
23/09/1978,Hiroshi Akuzawa,Japan,Avalanche,Dhaulagiri I
21/04/1978,Katsumi Naganuma,Japan,Exhaustion,Dhaulagiri I
26/03/1975,Yoshitada Numao,Japan,Avalanche,Dhaulagiri I
26/03/1975,Tetsu Imura,Japan,Avalanche,Dhaulagiri I
26/03/1975,Pasang Kami,Nepal,Avalanche,Dhaulagiri I
26/03/1975,Dorje,Nepal,Avalanche,Dhaulagiri I
26/03/1975,Dakiya,Nepal,Avalanche,Dhaulagiri I
28/04/1969,David Seidman,United States,Avalanche,Dhaulagiri I
28/04/1969,Ross William,United States,Avalanche,Dhaulagiri I
28/04/1969,Vincent Hoeman,United States,Avalanche,Dhaulagiri I
28/04/1969,Paul Gerhard,United States,Avalanche,Dhaulagiri I
28/04/1969,Boyd Everett,United States,Avalanche,Dhaulagiri I
28/04/1969,Pemba Phutar,Nepal,Avalanche,Dhaulagiri I
28/04/1969,Tenzing,Nepal,Avalanche,Dhaulagiri I
29/04/1959,Heinrich Roiss,Austria,Cold/Exhaustion,Dhaulagiri I
26/05/1956,Bal Bahadur,Nepal,Avalanche,Dhaulagiri I
30/06/1954,Francisco (Paco) Ibanez,Argentina,Exposure,Dhaulagiri I
02/10/2022,Dawa Chhiring Sherpa,Nepal,Avalanche,Manaslu
26/09/2022,Hilaree Nelson,United States,Fall,Manaslu
26/09/2022,Anup Rai,Nepal,Avalanche,Manaslu
29/09/2021,Brent Seal,Canada,Stroke,Manaslu
28/09/2019,Rita Bladyko,Poland,Altitude sickness,Manaslu
29/09/2018,Roman Hlávko,Czech Republic,Probably fall,Manaslu
08/09/2018,Hiromi Komatsu,Japan,Rescue helicopter crash,Manaslu
25/09/2017,Philip Harvey,United Kingdom,Altitude Sickness,Manaslu
26/10/2016,Hirotaka Onodera,Japan,Fall,Manaslu
